变量,重要性
2#大烟道负压_lag20,0.00014801650066420156
16#风箱负压,0.000146806636432894
5#风箱平均温度_lag5,0.00014170922196777894
3#风箱负压_lag10,0.00013605032956839905
17#风箱负压_lag10,0.00013539446699832372
3#风箱负压_lag20,0.0001284911136148388
7#风箱负压_lag20,0.00012779294839056714
3#风箱平均温度_lag5,0.0001192820599181287
2#大烟道负压_lag10,0.00011699473467530807
14#风箱负压_lag10,0.00011693063900623187
5#风箱负压_lag5,0.00011183570770547808
10#风箱平均温度_lag10,0.00010883353673499477
1#大烟道负压_lag10,0.0001055372909358186
5#风箱负压_lag20,0.00010378240378565617
4#风箱负压_lag20,0.00010061642597301481
10#风箱负压,9.432572806013593e-05
16#风箱负压_lag10,8.99417440704912e-05
14#风箱负压,8.775898364086374e-05
4#风箱负压_lag5,8.690899542366465e-05
17#风箱负压_lag20,7.783525433925357e-05
9#风箱负压_lag10,7.311343195412692e-05
4#风箱负压_lag10,6.569932854635956e-05
1#大烟道负压,6.433950626294209e-05
6#风箱负压_lag10,6.431093118827586e-05
15#风箱负压_lag10,6.225200999286939e-05
5#风箱负压_lag10,5.7877658651890815e-05
烧结机机速L1设定_lag10,5.744256060142976e-05
10#风箱负压_lag5,5.6977016920931934e-05
12#风箱负压_lag20,5.543856520737958e-05
6#风箱负压_lag5,5.4310882595341206e-05
9#风箱负压_lag5,5.269312777683408e-05
6#风箱负压,5.093949594469518e-05
烧结机机速L1设定_lag5,5.0745528356014453e-05
8#风箱负压_lag20,4.995648150224484e-05
12#风箱负压_lag10,4.9542122088758734e-05
12#风箱负压_lag5,4.922506830717149e-05
8#风箱负压_lag10,4.866381649300655e-05
7#风箱负压,4.7676756218144794e-05
10#风箱负压_lag10,4.6103474670143356e-05
13#风箱负压_lag20,4.582203865446261e-05
13#风箱负压,4.569722105545665e-05
14#风箱负压_lag20,4.551983318131939e-05
11#风箱负压,4.5364261785819254e-05
15#风箱负压_lag20,4.522646063383854e-05
烧结机机速L1设定_lag20,4.208301216402315e-05
13#风箱负压_lag10,3.5395795393714294e-05
13#风箱负压_lag5,3.511768457894001e-05
11#风箱负压_lag10,3.380502616271151e-05
11#风箱负压_lag20,2.505939144031215e-05
6#风箱负压_lag20,2.418801931704745e-05
11#风箱负压_lag5,2.3229992356441694e-05
7#风箱负压_lag10,2.2543101539977274e-05
烧结机机速L1设定,2.0477868603672533e-05
9#风箱负压,1.974930841688529e-05
9#风箱负压_lag20,1.922948163179943e-05
12#风箱负压,1.53021808767367e-05
8#风箱负压,1.4969311700670153e-05
10#风箱负压_lag20,1.3123319659634494e-05
