task,target,model,n_train,n_test,mae,rmse,r2
问题一_空间时滞温度预测,11#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,6.886881443820218,14.847166413634104,0.7401133554572816
问题一_空间时滞温度预测,11#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,6.714564776924464,15.339401371565396,0.7225954168789482
问题一_空间时滞温度预测,12#风箱平均温度,local_lag_Ridge,1937,485,45.030112383034286,63.85702123232763,-0.4863724799049338
问题一_空间时滞温度预测,12#风箱平均温度,local_lag_GradientBoosting,1937,485,37.5572447025326,49.071267527532434,0.12226200932798359
问题一_空间时滞温度预测,12#风箱平均温度,local_lag_RandomForest,1937,485,37.93678635337664,50.3766539915058,0.07494196316349899
问题一_空间时滞温度预测,12#风箱平均温度,neighbor_lag_Ridge,1937,485,48.010038303385834,81.25615066708224,-1.4067048510573184
问题一_空间时滞温度预测,12#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,36.4783382898473,47.63825121208103,0.17277821247179792
问题一_空间时滞温度预测,12#风箱平均温度,neighbor_lag_RandomForest,1937,485,38.11337930402091,50.44288483085979,0.07250799266821017
问题一_空间时滞温度预测,12#风箱平均温度,global_lag_Ridge,1937,485,64.55474538091049,141.4742582963951,-6.295670231446422
问题一_空间时滞温度预测,12#风箱平均温度,global_lag_GradientBoosting,1937,485,35.917668374471184,46.51099506057156,0.21146385419646807
问题一_空间时滞温度预测,12#风箱平均温度,global_lag_RandomForest,1937,485,36.67515466113057,46.924806342073644,0.19737012296454293
问题一_空间时滞温度预测,12#风箱平均温度,state_neighbor_lag_Ridge,1937,485,13.238310258443034,18.464867130288127,0.8757195784452583
问题一_空间时滞温度预测,12#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,13.64410031053171,20.515156354808756,0.8465877616848694
问题一_空间时滞温度预测,12#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,13.492312147121284,21.127088366451414,0.837299217555236
问题一_空间时滞温度预测,13#风箱平均温度,local_lag_Ridge,1937,485,62.198293547743944,97.00303535979185,-1.1050478507173187
问题一_空间时滞温度预测,13#风箱平均温度,local_lag_GradientBoosting,1937,485,45.138915744218835,56.46562725631912,0.2867206714945142
问题一_空间时滞温度预测,13#风箱平均温度,local_lag_RandomForest,1937,485,46.97353441474643,58.48540737247386,0.23477991136036258
问题一_空间时滞温度预测,13#风箱平均温度,neighbor_lag_Ridge,1937,485,60.8100340012765,90.24803642455227,-0.8220775077432305
问题一_空间时滞温度预测,13#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,43.66474521098045,54.10864724925502,0.3450250702698944
问题一_空间时滞温度预测,13#风箱平均温度,neighbor_lag_RandomForest,1937,485,44.09056985696636,54.3942979367942,0.33809132113705964
问题一_空间时滞温度预测,13#风箱平均温度,global_lag_Ridge,1937,485,82.89962887324675,185.39129709491266,-6.689002641796968
问题一_空间时滞温度预测,13#风箱平均温度,global_lag_GradientBoosting,1937,485,36.55420625588033,45.46067584635896,0.5376582633686939
问题一_空间时滞温度预测,13#风箱平均温度,global_lag_RandomForest,1937,485,39.534836536698606,48.929025631929406,0.4644198669678654
问题一_空间时滞温度预测,13#风箱平均温度,state_neighbor_lag_Ridge,1937,485,19.89407929883127,26.416675766696088,0.8438839135902078
问题一_空间时滞温度预测,13#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,18.8098859308181,23.616086428104698,0.8752308595528043
问题一_空间时滞温度预测,13#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,18.869472316340367,23.58496587574551,0.8755594767609924
问题一_空间时滞温度预测,14#风箱平均温度,local_lag_Ridge,1937,485,41.45782094164151,52.17105566538397,0.1068335473358244
问题一_空间时滞温度预测,14#风箱平均温度,local_lag_GradientBoosting,1937,485,35.59020360968579,43.65360579829185,0.3746640479060014
问题一_空间时滞温度预测,14#风箱平均温度,local_lag_RandomForest,1937,485,34.794225918153366,43.58877385503033,0.37652009800933994
问题一_空间时滞温度预测,14#风箱平均温度,neighbor_lag_Ridge,1937,485,44.94726819846455,72.00976970859783,-0.7015942032198952
问题一_空间时滞温度预测,14#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,33.40106592440174,42.45203474881654,0.4086151761541442
问题一_空间时滞温度预测,14#风箱平均温度,neighbor_lag_RandomForest,1937,485,33.64264577696119,42.81967866835336,0.39832777843026057
问题一_空间时滞温度预测,14#风箱平均温度,global_lag_Ridge,1937,485,64.9750352121978,148.64820712029078,-6.25090982718612
问题一_空间时滞温度预测,14#风箱平均温度,global_lag_GradientBoosting,1937,485,29.761503215169242,37.70732227218777,0.5334216973964853
